"product_name","date_received","date_sent","date_difference","days"
"Student loan","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-31",2,3
"Credit card","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-31",2,3
"Debt collection","2013-07-29","2013-09-17",50,51
"Mortgage","2013-07-29","2013-08-30",32,33
"Mortgage","2013-07-29","2013-08-13",15,16
"Mortgage","2013-07-29","2013-07-30",1,2
"Bank account or service","2013-07-29","2013-08-01",3,4
"Credit reporting","2013-07-29","2013-08-21",23,24
"Bank account or service","2013-07-29","2013-07-31",2,3
"Mortgage","2013-07-29","2013-08-01",3,4
"Consumer Loan","2013-07-30","2013-08-01",2,3
"Consumer Loan","2013-07-29","2013-07-31",2,3
"Credit card","2013-07-30","2013-08-02",3,4
"Mortgage","2013-07-30","2013-07-31",1,2
"Bank account or service","2013-07-29","2013-07-31",2,3
"Credit reporting","2013-07-29","2013-07-29",0,1
"Bank account or service","2013-07-30","2013-08-01",2,3
"Bank account or service","2013-07-29","2013-07-31",2,3
"Bank account or service","2013-07-30","2013-08-01",2,3
"Credit card","2013-07-30","2013-07-30",0,1
"Bank account or service","2013-07-31","2013-08-01",1,2
"Mortgage","2013-07-29","2013-08-02",4,5
"Mortgage","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-31",2,3
"Mortgage","2013-07-29","2013-07-30",1,2
"Credit card","2013-08-13","2013-08-15",2,3
"Mortgage","2013-07-29","2013-07-30",1,2
"Credit reporting","2013-07-29","2013-08-01",3,4
"Credit card","2013-07-31","2013-07-30",-1,0
"Bank account or service","2013-07-31","2013-08-01",1,2
"Mortgage","2013-07-29","2013-07-30",1,2
"Credit reporting","2013-07-29","2013-07-31",2,3
"Debt collection","2013-07-31","2013-07-30",-1,0
"Mortgage","2013-07-29","2013-07-30",1,2
"Debt collection","2013-07-30","2013-09-17",49,50
"Credit card","2013-07-31","2013-07-30",-1,0
"Mortgage","2013-07-31","2013-07-31",0,1
"Mortgage","2013-07-31","2013-07-31",0,1
"Debt collection","2013-07-30","2013-07-29",-1,0
"Mortgage","2013-07-31","2013-07-31",0,1
"Debt collection","2013-07-31","2013-07-30",-1,0
"Debt collection","2013-07-30","2013-08-01",2,3
"Mortgage","2013-07-31","2013-07-31",0,1
"Mortgage","2013-07-30","2013-07-30",0,1
"Credit reporting","2013-07-31","2013-08-26",26,27
"Credit card","2013-07-30","2013-07-29",-1,0
"Mortgage","2013-07-30","2013-07-30",0,1
"Credit card","2013-07-30","2013-07-31",1,2
"Debt collection","2013-07-30","2013-09-19",51,52
"Debt collection","2013-07-30","2013-07-29",-1,0
"Credit card","2013-07-30","2013-07-29",-1,0
"Credit reporting","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-30","2013-07-30",0,1
"Mortgage","2013-07-31","2013-08-05",5,6
"Credit reporting","2013-07-30","2013-08-12",13,14
"Credit reporting","2013-07-30","2013-08-12",13,14
"Credit reporting","2013-07-30","2013-07-30",0,1
"Credit reporting","2013-07-31","2013-08-02",2,3
"Debt collection","2013-07-31","2013-07-31",0,1
"Mortgage","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-30","2013-07-31",1,2
"Credit reporting","2013-07-30","2013-08-19",20,21
"Credit reporting","2013-07-31","2013-08-02",2,3
"Bank account or service","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-31","2013-08-05",5,6
"Mortgage","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-31","2013-11-03",95,96
"Credit card","2013-07-30","2013-08-02",3,4
"Debt collection","2013-07-30","2013-08-01",2,3
"Credit card","2013-07-30","2013-08-02",3,4
"Mortgage","2013-07-30","2013-07-31",1,2
"Credit card","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-31","2013-09-19",50,51
"Mortgage","2013-07-30","2013-07-31",1,2
"Credit reporting","2013-07-31","2013-08-26",26,27
"Student loan","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-31","2013-08-05",5,6
"Mortgage","2013-07-31","2013-08-05",5,6
"Credit card","2013-07-31","2013-07-31",0,1
"Mortgage","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-31","2013-08-05",5,6
"Bank account or service","2013-07-30","2013-07-31",1,2
"Credit reporting","2013-07-31","2013-08-20",20,21
"Mortgage","2013-07-30","2013-07-30",0,1
"Mortgage","2013-07-30","2013-07-31",1,2
"Credit reporting","2013-07-31","2013-08-06",6,7
"Mortgage","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-31","2013-08-05",5,6
"Mortgage","2013-07-30","2013-07-31",1,2
"Debt collection","2013-07-31","2013-08-16",16,17
"Credit card","2013-07-31","2013-08-02",2,3
"Credit reporting","2013-07-31","2013-07-31",0,1
"Mortgage","2013-07-30","2013-08-02",3,4
"Debt collection","2013-07-31","2013-07-31",0,1
"Mortgage","2013-07-31","2013-08-02",2,3
"Credit reporting","2013-07-30","2013-07-30",0,1
"Debt collection","2013-07-30","2013-07-30",0,1
"Consumer Loan","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-30","2013-07-31",1,2
"Debt collection","2013-07-31","2013-07-31",0,1
"Credit card","2013-07-30","2013-07-31",1,2
"Consumer Loan","2013-07-31","2013-08-05",5,6
"Bank account or service","2013-07-30","2013-07-31",1,2
"Bank account or service","2013-07-31","2013-08-02",2,3
"Credit card","2013-07-31","2013-08-02",2,3
"Bank account or service","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-31","2013-08-02",2,3
"Bank account or service","2013-07-31","2013-08-06",6,7
"Credit reporting","2013-07-31","2013-08-12",12,13
"Student loan","2013-07-31","2013-08-05",5,6
"Mortgage","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-31","2013-08-02",2,3
"Credit card","2013-07-31","2013-08-02",2,3
"Credit reporting","2013-07-31","2013-07-31",0,1
"Bank account or service","2013-07-31","2013-08-02",2,3
"Debt collection","2013-07-30","2013-08-01",2,3
"Mortgage","2013-07-31","2013-08-01",1,2
"Bank account or service","2013-07-31","2013-08-02",2,3
"Credit reporting","2013-07-30","2013-08-12",13,14
"Debt collection","2013-07-31","2013-08-16",16,17
"Bank account or service","2013-07-31","2013-08-02",2,3
"Credit card","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-30","2013-07-31",1,2
"Credit reporting","2013-07-31","2013-07-31",0,1
"Mortgage","2013-07-31","2013-08-05",5,6
"Mortgage","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-31","2013-08-02",2,3
"Credit card","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-31","2013-08-02",2,3
"Debt collection","2013-07-30","2013-08-01",2,3
"Credit card","2013-07-30","2013-07-31",1,2
"Bank account or service","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-31","2013-08-05",5,6
"Bank account or service","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-31","2013-08-02",2,3
"Credit reporting","2013-07-31","2013-07-31",0,1
"Credit reporting","2013-07-30","2013-08-06",7,8
"Bank account or service","2013-07-31","2013-08-05",5,6
"Credit card","2013-07-30","2013-07-30",0,1
"Credit card","2013-07-31","2013-07-31",0,1
"Mortgage","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-31","2013-08-02",2,3
"Bank account or service","2013-07-30","2013-08-01",2,3
"Credit reporting","2013-07-30","2013-07-30",0,1
"Mortgage","2013-07-31","2013-08-02",2,3
"Consumer Loan","2013-07-31","2013-08-05",5,6
"Student loan","2013-07-30","2013-07-31",1,2
"Bank account or service","2013-07-31","2013-08-05",5,6
"Credit card","2013-07-31","2013-07-31",0,1
"Mortgage","2013-07-31","2013-09-09",40,41
"Mortgage","2013-07-31","2013-08-02",2,3
"Student loan","2013-07-30","2013-07-31",1,2
"Credit card","2013-07-31","2013-07-31",0,1
"Credit reporting","2013-07-31","2013-07-31",0,1
"Credit card","2013-07-30","2013-08-02",3,4
"Mortgage","2013-07-30","2013-07-31",1,2
"Bank account or service","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-30","2013-07-30",0,1
"Credit card","2013-07-30","2013-07-30",0,1
"Credit card","2013-07-30","2013-08-02",3,4
"Mortgage","2013-07-31","2013-08-02",2,3
"Credit reporting","2013-07-31","2013-07-31",0,1
"Debt collection","2013-07-31","2013-08-06",6,7
"Debt collection","2013-07-30","2013-07-30",0,1
"Consumer Loan","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-30","2013-07-31",1,2
"Student loan","2013-07-30","2013-07-31",1,2
"Bank account or service","2013-07-30","2013-08-07",8,9
"Mortgage","2013-07-31","2013-08-05",5,6
"Mortgage","2013-07-31","2013-08-02",2,3
"Credit card","2013-07-31","2013-08-05",5,6
"Mortgage","2013-07-30","2013-08-06",7,8
"Credit card","2013-07-30","2013-07-30",0,1
"Mortgage","2013-07-31","2013-08-02",2,3
"Debt collection","2013-07-30","2013-07-30",0,1
"Mortgage","2013-07-31","2013-08-02",2,3
"Consumer Loan","2013-07-30","2013-07-31",1,2
"Debt collection","2013-07-31","2013-08-06",6,7
"Credit card","2013-07-30","2013-07-31",1,2
"Credit reporting","2013-07-31","2013-07-31",0,1
"Mortgage","2013-07-30","2013-07-31",1,2
"Bank account or service","2013-07-30","2013-07-31",1,2
"Consumer Loan","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-22","2013-07-25",3,4
"Bank account or service","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-31","2013-08-02",2,3
"Credit card","2013-08-14","2013-08-14",0,1
"Mortgage","2013-07-22","2013-07-25",3,4
"Mortgage","2013-07-31","2013-08-05",5,6
"Bank account or service","2013-07-31","2013-08-02",2,3
"Debt collection","2013-07-31","2013-08-06",6,7
"Mortgage","2013-07-30","2013-07-31",1,2
"Credit reporting","2013-07-31","2013-07-31",0,1
"Bank account or service","2013-07-22","2013-07-23",1,2
"Consumer Loan","2013-07-22","2013-07-23",1,2
"Bank account or service","2013-07-30","2013-07-31",1,2
"Credit reporting","2013-07-22","2013-07-22",0,1
"Mortgage","2013-07-30","2013-07-31",1,2
"Credit reporting","2013-07-31","2013-07-31",0,1
"Credit reporting","2013-07-22","2013-07-22",0,1
"Credit reporting","2013-07-30","2013-07-30",0,1
"Debt collection","2013-07-30","2013-08-02",3,4
"Debt collection","2013-07-30","2013-08-09",10,11
"Credit reporting","2013-07-31","2013-07-31",0,1
"Credit card","2013-07-31","2013-08-02",2,3
"Student loan","2013-07-22","2013-07-25",3,4
"Mortgage","2013-07-30","2013-07-31",1,2
"Bank account or service","2013-07-30","2013-07-31",1,2
"Bank account or service","2013-07-30","2013-07-31",1,2
"Debt collection","2013-07-22","2013-07-22",0,1
"Mortgage","2013-07-31","2013-08-05",5,6
"Mortgage","2013-07-31","2013-08-02",2,3
"Credit card","2013-07-22","2013-07-22",0,1
"Debt collection","2013-08-06","2013-09-30",55,56
"Credit reporting","2013-07-22","2013-07-22",0,1
"Bank account or service","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-22","2013-07-25",3,4
"Bank account or service","2013-07-30","2013-07-31",1,2
"Mortgage","2013-07-22","2013-07-23",1,2
"Mortgage","2013-07-30","2013-08-01",2,3
"Mortgage","2013-08-06","2013-08-07",1,2
"Debt collection","2013-08-06","2013-08-07",1,2
"Mortgage","2013-08-06","2013-08-07",1,2
"Credit reporting","2013-07-22","2013-07-31",9,10
"Mortgage","2013-08-06","2013-08-12",6,7
"Mortgage","2013-08-06","2013-08-08",2,3
"Mortgage","2013-07-31","2013-08-02",2,3
"Mortgage","2013-08-06","2013-08-08",2,3
"Mortgage","2013-07-31","2013-08-21",21,22
"Mortgage","2013-07-31","2013-08-02",2,3
"Mortgage","2013-08-06","2013-08-07",1,2
"Mortgage","2013-08-06","2013-08-08",2,3
"Credit reporting","2013-07-22","2013-07-31",9,10
"Mortgage","2013-07-31","2013-08-02",2,3
"Mortgage","2013-08-06","2013-08-08",2,3
"Mortgage","2013-08-06","2013-08-08",2,3
"Mortgage","2013-07-31","2013-08-05",5,6
"Mortgage","2013-07-31","2013-08-05",5,6
"Debt collection","2013-08-06","2013-08-09",3,4
"Mortgage","2013-07-31","2013-08-05",5,6
"Credit card","2013-07-31","2013-08-05",5,6
"Bank account or service","2013-07-31","2013-08-02",2,3
"Mortgage","2013-07-31","2013-08-05",5,6
"Bank account or service","2013-07-22","2013-07-30",8,9
"Credit reporting","2013-08-06","2013-08-06",0,1
"Mortgage","2013-07-31","2013-08-05",5,6
"Mortgage","2013-07-31","2013-08-05",5,6
"Bank account or service","2013-07-31","2013-10-16",77,78
"Bank account or service","2013-07-22","2013-07-24",2,3
"Mortgage","2013-07-31","2013-08-05",5,6
"Bank account or service","2013-07-31","2013-08-02",2,3
"Credit card","2013-07-31","2013-08-05",5,6
"Mortgage","2013-08-06","2013-08-07",1,2
"Mortgage","2013-07-22","2013-07-24",2,3
"Bank account or service","2013-07-22","2013-07-24",2,3
"Credit card","2013-08-06","2013-08-06",0,1
"Mortgage","2013-07-31","2013-08-06",6,7
"Mortgage","2013-08-06","2013-08-08",2,3
"Mortgage","2013-08-06","2013-08-07",1,2
"Credit card","2013-07-22","2013-07-22",0,1
"Mortgage","2013-07-22","2013-07-23",1,2
"Debt collection","2013-08-06","2013-08-06",0,1
"Credit reporting","2013-08-06","2013-08-06",0,1
"Mortgage","2013-08-01","2013-08-05",4,5
"Mortgage","2013-07-23","2013-07-23",0,1
"Money transfers","2013-08-01","2013-07-31",-1,0
"Bank account or service","2013-08-06","2013-08-07",1,2
"Mortgage","2013-08-01","2013-08-05",4,5
"Debt collection","2013-07-23","2013-07-22",-1,0
"Mortgage","2013-07-23","2013-07-23",0,1
"Mortgage","2013-08-06","2013-08-08",2,3
"Credit card","2013-08-01","2013-07-31",-1,0
"Bank account or service","2013-08-01","2013-08-02",1,2
"Credit reporting","2013-07-23","2013-07-29",6,7
"Bank account or service","2013-07-23","2013-07-24",1,2
"Mortgage","2013-07-23","2013-07-25",2,3
"Bank account or service","2013-08-01","2013-08-06",5,6
"Credit card","2013-08-01","2013-07-31",-1,0
"Bank account or service","2013-07-23","2013-07-24",1,2
"Consumer Loan","2013-07-23","2013-07-24",1,2
"Credit reporting","2013-08-01","2013-08-01",0,1
"Mortgage","2013-08-06","2013-08-09",3,4
"Mortgage","2013-08-06","2013-08-12",6,7
"Student loan","2013-07-23","2013-07-25",2,3
"Mortgage","2013-07-23","2013-07-23",0,1
"Debt collection","2013-08-01","2013-09-05",35,36
"Mortgage","2013-08-01","2013-08-05",4,5
"Bank account or service","2013-08-01","2013-08-02",1,2
"Mortgage","2013-07-23","2013-07-24",1,2
"Mortgage","2013-07-23","2013-07-24",1,2
"Mortgage","2013-07-23","2013-07-25",2,3
"Mortgage","2013-07-23","2013-07-24",1,2
"Mortgage","2013-07-23","2013-07-24",1,2
"Mortgage","2013-08-06","2013-08-09",3,4
"Mortgage","2013-07-23","2013-07-24",1,2
"Mortgage","2013-07-23","2013-07-25",2,3
"Credit card","2013-07-23","2013-07-25",2,3
"Mortgage","2013-08-01","2013-08-05",4,5
"Mortgage","2013-08-01","2013-08-05",4,5
"Mortgage","2013-08-01","2013-08-05",4,5
"Mortgage","2013-07-23","2013-07-24",1,2
"Mortgage","2013-07-23","2013-07-24",1,2
"Bank account or service","2013-07-23","2013-07-24",1,2
"Mortgage","2013-07-23","2013-07-25",2,3
"Mortgage","2013-08-06","2013-08-08",2,3
"Mortgage","2013-08-01","2013-08-05",4,5
"Credit reporting","2013-08-06","2013-09-05",30,31
"Money transfers","2013-08-01","2013-08-01",0,1
"Debt collection","2013-07-23","2013-07-23",0,1
"Credit card","2013-07-23","2013-07-26",3,4
"Bank account or service","2013-07-23","2013-08-01",9,10
"Mortgage","2013-08-01","2013-08-05",4,5
"Bank account or service","2013-08-06","2013-08-09",3,4
"Mortgage","2013-08-01","2013-08-05",4,5
"Mortgage","2013-07-23","2013-07-25",2,3
"Debt collection","2013-07-23","2013-07-31",8,9
"Mortgage","2013-08-01","2013-08-05",4,5
"Credit card","2013-07-23","2013-07-23",0,1
"Bank account or service","2013-08-06","2013-08-08",2,3
"Credit reporting","2013-07-23","2013-08-19",27,28
"Mortgage","2013-08-01","2013-08-05",4,5
"Bank account or service","2013-07-23","2013-07-24",1,2
"Consumer Loan","2013-08-01","2013-08-05",4,5
"Mortgage","2013-08-06","2013-08-13",7,8
"Mortgage","2013-08-06","2013-08-08",2,3
"Mortgage","2013-07-23","2013-07-24",1,2
"Credit card","2013-07-23","2013-07-23",0,1
"Mortgage","2013-08-06","2013-08-09",3,4
"Credit reporting","2013-08-06","2013-08-08",2,3
"Mortgage","2013-07-23","2013-07-25",2,3
"Mortgage","2013-08-01","2013-08-05",4,5
"Mortgage","2013-07-23","2013-07-24",1,2
"Mortgage","2013-08-06","2013-08-09",3,4
"Mortgage","2013-08-01","2013-08-05",4,5
"Mortgage","2013-08-01","2013-08-05",4,5
"Credit reporting","2013-07-23","2013-08-05",13,14
"Credit reporting","2013-07-23","2013-07-29",6,7
"Mortgage","2013-08-01","2013-08-05",4,5
"Debt collection","2013-08-01","2014-01-09",161,162
"Credit card","2013-07-23","2013-07-23",0,1
"Credit reporting","2013-08-01","2013-08-06",5,6
"Credit reporting","2013-07-23","2013-07-23",0,1
"Mortgage","2013-08-01","2013-08-05",4,5
"Mortgage","2013-07-23","2013-07-24",1,2
"Mortgage","2013-07-23","2013-07-25",2,3
"Credit card","2013-07-24","2013-07-24",0,1
"Bank account or service","2013-07-24","2013-07-26",2,3
"Mortgage","2013-07-23","2013-07-25",2,3
"Mortgage","2013-08-06","2013-08-09",3,4
"Bank account or service","2013-08-06","2013-08-07",1,2
"Bank account or service","2013-07-23","2013-07-24",1,2
"Credit card","2013-07-23","2013-07-26",3,4
"Mortgage","2013-07-24","2013-07-29",5,6
"Credit card","2013-07-24","2013-08-13",20,21
"Mortgage","2013-08-06","2013-08-07",1,2
"Credit reporting","2013-08-06","2013-08-09",3,4
"Mortgage","2013-07-24","2013-07-26",2,3
"Mortgage","2013-08-06","2013-08-07",1,2
"Credit card","2013-07-24","2013-07-26",2,3
"Mortgage","2013-07-24","2013-07-26",2,3
"Credit card","2013-07-24","2013-07-25",1,2
"Credit card","2013-07-23","2013-07-23",0,1
"Credit card","2013-07-24","2013-07-25",1,2
"Student loan","2013-07-24","2013-07-25",1,2
"Credit reporting","2013-07-23","2013-07-29",6,7
"Mortgage","2013-08-06","2013-09-20",45,46
"Debt collection","2013-08-06","2013-08-12",6,7
"Mortgage","2013-08-06","2013-08-07",1,2
"Mortgage","2013-07-23","2013-07-24",1,2
"Bank account or service","2013-07-24","2013-07-26",2,3
"Mortgage","2013-07-24","2013-07-26",2,3
"Credit reporting","2013-08-06","2013-08-06",0,1
"Mortgage","2013-07-24","2013-07-26",2,3
"Mortgage","2013-07-24","2013-07-29",5,6
"Mortgage","2013-07-24","2013-07-26",2,3
"Credit reporting","2013-08-06","2013-08-06",0,1
"Mortgage","2013-07-23","2013-07-24",1,2
"Bank account or service","2013-07-24","2013-07-26",2,3
"Mortgage","2013-07-24","2013-07-26",2,3
"Money transfers","2013-07-24","2013-07-31",7,8
"Mortgage","2013-07-24","2013-07-29",5,6
"Mortgage","2013-07-23","2013-07-24",1,2
"Mortgage","2013-07-23","2013-07-25",2,3
"Mortgage","2013-07-24","2013-07-29",5,6
"Credit reporting","2013-07-23","2013-07-23",0,1
"Mortgage","2013-07-24","2013-07-29",5,6
"Mortgage","2013-07-24","2013-07-26",2,3
"Mortgage","2013-07-24","2013-07-26",2,3
"Bank account or service","2013-07-24","2013-07-29",5,6
"Mortgage","2013-07-23","2013-07-24",1,2
"Credit card","2013-07-23","2013-07-23",0,1
"Mortgage","2013-08-07","2013-08-07",0,1
"Mortgage","2013-07-24","2013-07-26",2,3
"Credit reporting","2013-08-07","2013-08-06",-1,0
"Debt collection","2013-08-07","2013-08-06",-1,0
"Debt collection","2013-08-07","2013-11-07",92,93
"Debt collection","2013-08-07","2013-08-12",5,6
"Mortgage","2013-07-23","2013-07-25",2,3
"Mortgage","2013-07-24","2013-07-26",2,3
"Credit card","2013-08-07","2013-08-07",0,1
"Debt collection","2013-08-07","2013-08-06",-1,0
"Debt collection","2013-08-07","2013-08-06",-1,0
"Credit reporting","2013-08-07","2013-08-06",-1,0
"Mortgage","2013-07-23","2013-07-25",2,3
"Mortgage","2013-07-23","2013-07-25",2,3
"Mortgage","2013-08-07","2013-08-08",1,2
"Credit reporting","2013-07-23","2013-07-23",0,1
"Mortgage","2013-08-07","2013-08-07",0,1
"Bank account or service","2013-08-07","2013-08-07",0,1
"Credit card","2013-08-07","2013-08-07",0,1
"Mortgage","2013-07-23","2013-07-25",2,3
"Credit card","2013-08-07","2013-08-06",-1,0
"Mortgage","2013-07-23","2013-07-25",2,3
"Bank account or service","2013-07-23","2013-07-24",1,2
"Mortgage","2013-08-07","2013-08-09",2,3
"Debt collection","2013-07-24","2013-07-31",7,8
"Credit card","2013-08-07","2013-08-07",0,1
"Credit reporting","2013-08-07","2013-08-07",0,1
"Mortgage","2013-08-12","2013-08-14",2,3
"Credit reporting","2013-07-24","2013-08-01",8,9
"Mortgage","2013-08-07","2013-08-09",2,3
"Bank account or service","2013-08-07","2013-08-08",1,2
"Mortgage","2013-08-07","2013-08-12",5,6
"Mortgage","2013-08-07","2013-08-09",2,3
"Debt collection","2013-08-07","2013-08-09",2,3
"Mortgage","2013-08-12","2013-08-14",2,3
"Mortgage","2013-07-23","2013-07-25",2,3
"Credit reporting","2013-07-24","2013-07-24",0,1
"Credit reporting","2013-08-07","2013-08-08",1,2
"Bank account or service","2013-07-24","2013-07-25",1,2
"Bank account or service","2013-07-23","2013-07-24",1,2
"Mortgage","2013-07-23","2013-07-25",2,3
"Debt collection","2013-08-12","2013-10-16",65,66
"Credit reporting","2013-08-12","2013-08-14",2,3
"Debt collection","2013-08-07","2013-08-28",21,22
"Debt collection","2013-07-23","2013-07-30",7,8
"Mortgage","2013-07-23","2013-07-24",1,2
"Student loan","2013-08-07","2013-08-08",1,2
"Credit card","2013-08-12","2013-08-12",0,1
"Mortgage","2013-07-24","2013-07-26",2,3
"Mortgage","2013-07-24","2013-07-26",2,3
"Credit card","2013-08-07","2013-08-07",0,1
"Mortgage","2013-07-23","2013-07-25",2,3
"Debt collection","2013-07-24","2013-08-07",14,15
"Credit card","2013-07-23","2013-07-23",0,1
"Credit card","2013-08-12","2013-08-12",0,1
"Debt collection","2013-08-12","2013-08-23",11,12
"Bank account or service","2013-07-24","2013-07-26",2,3
"Credit card","2013-08-07","2013-08-07",0,1
"Mortgage","2013-08-07","2013-09-19",43,44
"Mortgage","2013-07-24","2013-07-26",2,3
"Credit card","2013-08-07","2013-08-09",2,3
"Mortgage","2013-08-12","2013-08-15",3,4
"Credit card","2013-08-12","2013-08-12",0,1
"Mortgage","2013-07-23","2013-07-25",2,3
"Mortgage","2013-08-07","2013-08-09",2,3
"Debt collection","2013-07-24","2013-08-01",8,9
"Bank account or service","2013-07-23","2013-07-24",1,2
"Mortgage","2013-08-07","2013-08-07",0,1
"Credit card","2013-08-12","2013-08-13",1,2
"Mortgage","2013-08-12","2013-08-14",2,3
"Mortgage","2013-08-12","2013-08-14",2,3
"Mortgage","2013-07-23","2013-07-24",1,2
"Credit card","2013-07-23","2013-07-23",0,1
"Mortgage","2013-08-12","2013-08-14",2,3
"Bank account or service","2013-07-23","2013-07-24",1,2
"Mortgage","2013-08-12","2013-08-14",2,3
"Mortgage","2013-08-12","2013-08-14",2,3
"Bank account or service","2013-08-07","2013-08-08",1,2
"Credit card","2013-07-23","2013-07-23",0,1
"Debt collection","2013-07-23","2013-07-31",8,9
"Mortgage","2013-08-12","2013-08-14",2,3
"Credit card","2013-07-23","2013-07-23",0,1
"Mortgage","2013-08-12","2013-08-14",2,3
"Mortgage","2013-07-23","2013-07-26",3,4
"Bank account or service","2013-08-07","2013-08-08",1,2
"Credit card","2013-08-07","2013-08-07",0,1
"Mortgage","2013-08-12","2013-08-14",2,3
"Mortgage","2013-08-12","2013-08-14",2,3
"Debt collection","2013-07-23","2013-09-12",51,52
"Mortgage","2013-08-12","2013-08-14",2,3
"Credit card","2013-07-23","2013-07-23",0,1
"Mortgage","2013-08-12","2013-08-14",2,3
"Credit reporting","2013-08-07","2013-08-07",0,1
"Debt collection","2013-08-12","2013-09-03",22,23
"Debt collection","2013-07-24","2013-08-01",8,9
"Mortgage","2013-07-24","2013-07-29",5,6
"Mortgage","2013-08-07","2013-08-07",0,1
"Debt collection","2013-08-12","2013-08-30",18,19
"Debt collection","2013-08-12","2013-08-14",2,3
"Mortgage","2013-08-12","2013-08-14",2,3
